"Reference","Value","Footprint","Qty","DNP","Thegioiic_Buylink"
"BT1","CR1220","trainFootprint:BatteryHolder_CR1220","1","","https://www.thegioiic.com/de-pin-cr1220-dan-smd"
"BZ1","Buzzer","trainFootprint:Buzzer_12x9.5RM7.6","1","","https://www.thegioiic.com/1209-buzzer-coi-chip-12x9mm-93db-xuyen-lo"
"C1,C3","0.1uF/275VAC","trainFootprint:C_Rect_L16.5mm_W5.0mm_P15.00mm_MKT","2","","https://www.thegioiic.com/tu-keo-vang-x2-100nf-0-1uf-104k-275vac"
"C2,C4","10nF/1000V","trainFootprint:C_Rect_L7.0mm_W2.0mm_P5.00mm","2","","https://www.thegioiic.com/tu-gom-xanh-10nf-1000v"
"C5","220uF/6.3x7.7/6.3V","trainFootprint:CP_Elec_6.3x7.7","1","","https://www.thegioiic.com/tu-nhom-smd-220uf-16v-6-3x7-7mm"
"C6,C9,C11,C25,C26,C29,C32,C33","10uF/0603/6.3V","trainFootprint:C_0603","8","","https://www.thegioiic.com/tu-gom-0603-10uf-16v"
"C7,C8,C15,C17,C19,C21,C22,C23,C24,C27,C28,C30","100nF/0603/50V","trainFootprint:C_0603","12","","https://www.thegioiic.com/tu-gom-0603-100nf-0-1uf-50v"
"C10,C12,C13,C14,C16,C18,C20","1uF/0603/50V","trainFootprint:C_0603","7","","https://www.thegioiic.com/tu-gom-0603-1uf-25v"
"C31","10nF/0603/50V","trainFootprint:C_0603","1","","https://www.thegioiic.com/tu-gom-0603-10nf-50v"
"D2","SS54/SMA","trainFootprint:D_SMA","1","","https://www.thegioiic.com/ss54-sma-diode-shotky-5a-40v"
"D3","1N4148/SOD323","trainFootprint:D_SOD323","1","","https://www.thegioiic.com/1n4148w-diode-chinh-luu-0-15a-75v-sod323"
"D4","BAT54C/SOT23-3","trainFootprint:SOT23-3","1","","https://www.thegioiic.com/bat54c"
"D5,D6,D7,D8","1N4007/SOD-123","trainFootprint:D_SOD-123","4","","https://www.thegioiic.com/1n4007w-a7-diode-chinh-luu-1a-1kv-sod-123"
"F1","300mA/250VAC","trainFootprint:RV_Disc_D12mm_W3.9mm_P7.5mm","1","","https://www.thegioiic.com/gr250-300-cau-chi-tu-phuc-hoi-250v-300ma"
"F2","0.9-1.2A/1812/24V","trainFootprint:Fuse_1812_4532Metric","1","","https://www.thegioiic.com/mf-msmf110-24x-2-cau-chi-tu-phuc-hoi-1812-24v-1-1a"
"FL1","10mH/UU9.8","trainFootprint:ACFilterChokeUU9.8","1","","https://www.thegioiic.com/cuon-cam-10mh-uu9-8-103"
"H1","MountingHole_Pad","trainFootprint:MountingHole_3.2mm_M3_Pad_Via","1","DNP",""
"IC1","RTC_DS3231M","trainFootprint:SOIC-16W_7.5x10.3mm_P1.27mm","1","","https://www.thegioiic.com/ds3231sn-ic-rtc-clock-calendar-16-soic"
"J1","DC5521/2.1mm","trainFootprint:BarrelJack_Wuerth_6941xx301002","1","","https://www.thegioiic.com/dc5521-dau-noi-nguon-dc-cai-5521-han-pcb-kim-2-1mm"
"J2,J4","USB_A_Stacked","trainFootprint:USB_A_Wuerth_61400826021_Horizontal_Stacked","2","","https://www.thegioiic.com/cong-usb-cai-doi-2-0-type-a-8-chan-cong-90-do-v2"
"J3","HB9500-6P","trainFootprint:TerminalBlock_Screw_HB9500_6P_P9.5mm","1","","https://www.thegioiic.com/hb9500-6-terminal-khoi-han-pcb-6-cuc-25a-300v-9-5mm"
"J5","header-2.54mm-7p","trainFootprint:PinHeader_1x07_P2.54mm_Vertical","1","","https://www.thegioiic.com/hang-rao-duc-don-2-54mm-40-chan-1-hang-cao-11-2mm-xuyen-lo"
"J6","MiSD-PP-9P-V1","trainFootprint:MicroSD_Socket_9P","1","","https://www.thegioiic.com/misd-pp-9p-v1-khay-the-nho-microsd-9-chan-push-push"
"JP2","power select","trainFootprint:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels","1","DNP",""
"L1","68uH 2A/10.4x10.4","trainFootprint:L_10.4x10.4_H4.8","1","","https://www.thegioiic.com/cuon-cam-dan-smd-cdrh104-1038-680-68uh-2-08a"
"LE1,LE2,LE3,LE4,LE5,LE6,LE7,LE8,LE9,LE12,LE13,LE14","RED/0603","trainFootprint:LED_0603","12","","https://www.thegioiic.com/led-do-0603-dan-smd-trong-suot"
"PS1","HLK-10M05","trainFootprint:ACDC_HLK10M05","1","","https://www.thegioiic.com/hlk-10m05-chuyen-doi-ac-dc-220-5v-10w-hi-link"
"Q1,Q2,Q3,Q4,Q5","SI2300/SOT23-3","trainFootprint:SOT23-3","5","","https://www.thegioiic.com/si2300ds-mosfet-kenh-n-30v-3-6a-sot-23"
"Q6","SI2301/SOT23-3","trainFootprint:SOT23-3","1","","https://www.thegioiic.com/si2301ds-mosfet-kenh-p-20v-2-3a-sot-23-3"
"R1,R4,R6,R8,R9,R11,R13,R15,R19,R26,R29,R34,R35","1K/0603/5%","trainFootprint:C_0603","13","","https://www.thegioiic.com/dien-tro-1-kohm-0603-1-"
"R2,R7","100K/0603/5%","trainFootprint:C_0603","2","","https://www.thegioiic.com/dien-tro-100-kohm-0603-1-"
"R3,R10,R12,R14,R16,R18,R23,R28,R30,R31,R36","10K/0603/5%","trainFootprint:C_0603","11","","https://www.thegioiic.com/dien-tro-10-kohm-0603-1-"
"R5,R17,R20,R27","200R/0603/5%","trainFootprint:C_0603","4","","https://www.thegioiic.com/dien-tro-220-ohm-0603-1-"
"R21","9.1K/0603/1%","trainFootprint:C_0603","1","","https://www.thegioiic.com/dien-tro-9-1-kohm-0805-5-"
"R22","4.7K/0603/1%","trainFootprint:C_0603","1","","https://www.thegioiic.com/dien-tro-4-7-kohm-0603-1-"
"R32,R33","4.7K/0603/5%","trainFootprint:C_0603","2","","https://www.thegioiic.com/dien-tro-4-7-kohm-0603-1-"
"RL1,RL2,RL3,RL4","G5NB-1A-E_DC5","trainFootprint:Relay_G5NB-1A-E DC5","4","","https://www.thegioiic.com/g5nb-1a-e-5vdc-ro-le-5vdc-5a-spst-no"
"RV1","10D561","trainFootprint:RV_Disc_D12mm_W5.8mm_P7.5mm","1","","https://www.thegioiic.com/tu-chong-set-varistor-10d561k-560v"
"SW1,SW2","tactileSW/4.2x3.3","trainFootprint:SW_SPST_PTS810","2","","https://www.thegioiic.com/nut-nhan-4-2x3-3mm-cao-2-5mm-4-chan-smd-v2"
"TP1","TestPoint","trainFootprint:TestPoint_Pad_D1.0mm","1","DNP",""
"U1","XL1509-5.0E1","trainFootprint:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.thegioiic.com/xl1509-5-0e1-ic-on-ap-5v-2a-8-soic"
"U2","AMS1117-3.3","trainFootprint:SOT-223-3_TabPin2","1","","https://www.thegioiic.com/ams1117-3-3v-ic-on-ap-3-3v-1a-sot-223"
"U3","PCF8574/SOIC-16W","trainFootprint:SOIC-16W_7.5x10.3mm_P1.27mm","1","","https://www.thegioiic.com/pcf8574at-ic-i-o-expander-100khz-16-soic"
"U4","ACS712ELCTR-20A-T/SOIC-8","trainFootprint:SOIC-8_3.9x4.9mm_P1.27mm","1","","https://www.thegioiic.com/acs712elctr-20a-t-cam-bien-dong-20a-1-kenh"
"U5,U6,U8,U9","EL357N-G/SOP-4","trainFootprint:OPTO_EL357N-G","4","","https://www.thegioiic.com/el357n-g-optoisolator-transistor-output-3750vrms-1-channel-4-sop"
"U7","B0505S-1W","IVS_FOOTPRINTS:B0505S","1","","https://www.thegioiic.com/b0505s-1wr3-chuyen-doi-dc-dc-vao-5v-ra-5v-1w"
"U10","ESP32-WROOM-32E","trainFootprint:ESP32-WROOM-32E","1","","https://www.thegioiic.com/esp32-wroom-32e-n4-module-wifi-bluetooth-4mb-flash-2-4ghz"
"Z1,Z2","3.3V/SOD-123","trainFootprint:D_SOD-123","2","","https://www.thegioiic.com/bzt52h-c3v3-diode-zener-3-3v-375mw-sod-123f"
